Mobile_Device,Rating,sentiment_label,sentiment_score,positive_probability,neutral_probability,negative_probability,rating_norm,satisfaction_score,score_agreement,review_len,Date,Additional_Information
iPhone 17 Pro Max,5,positive,0.9751,0.9536,0.043,0.0034,1.0,98.91,1,309,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9851,0.973,0.0241,0.0029,1.0,99.47,1,437,1 month ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9924,0.9888,0.0072,0.004,1.0,99.88,1,220,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9924,0.989,0.0068,0.0041,1.0,99.88,1,214,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,4,positive,0.9397,0.8985,0.0823,0.0192,0.75,85.49,1,855,5 months ago,Incentivized | Verified Purchaser | Best Buy Employee | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9921,0.987,0.0102,0.0028,1.0,99.87,1,164,3 months ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9887,0.9823,0.0129,0.0048,1.0,99.68,1,194,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.991,0.9852,0.0116,0.0032,1.0,99.8,1,63,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9937,0.9902,0.007,0.0028,1.0,99.96,1,68,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.992,0.9876,0.0088,0.0036,1.0,99.86,1,156,2 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9892,0.9841,0.0103,0.0056,1.0,99.7,1,145,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9925,0.9875,0.0099,0.0026,1.0,99.89,1,83,1 month ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9937,0.9909,0.0057,0.0034,1.0,99.96,1,113,2 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9895,0.9831,0.0128,0.0041,1.0,99.72,1,95,2 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9892,0.9843,0.0099,0.0058,1.0,99.7,1,99,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9853,0.9779,0.0149,0.0072,1.0,99.49,1,152,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9933,0.9897,0.0073,0.003,1.0,99.93,1,125,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9916,0.9866,0.0101,0.0033,1.0,99.84,1,91,4 months ago,Incentivized | Verified Purchaser | Owned for less than 1 week
iPhone 17 Pro Max,5,positive,0.9938,0.9901,0.0075,0.0024,1.0,99.96,1,56,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,positive,0.9864,0.9784,0.0161,0.0055,0.75,88.1,1,82,1 month ago,Incentivized | Verified Purchaser | Owned for 3 months
iPhone 17 Pro Max,5,positive,0.993,0.9893,0.0074,0.0033,1.0,99.92,1,106,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9942,0.9916,0.0052,0.0032,1.0,99.98,1,58,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9919,0.9873,0.0092,0.0035,1.0,99.85,1,64,5 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9931,0.9896,0.0071,0.0033,1.0,99.92,1,62,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.994,0.99,0.008,0.002,1.0,99.97,1,69,1 week ago,Incentivized | Verified Purchaser | Owned for less than 1 week
iPhone 17 Pro Max,5,positive,0.992,0.9879,0.0082,0.0039,1.0,99.86,1,53,5 months ago,Incentivized | Verified Purchaser | Best Buy Employee | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9931,0.9897,0.0067,0.0036,1.0,99.92,1,57,1 month ago,Incentivized | Verified Purchaser | Owned for 6 months
iPhone 17 Pro Max,5,positive,0.9663,0.9381,0.0564,0.0055,1.0,98.42,1,293,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9829,0.9709,0.0239,0.0052,1.0,99.35,1,224,5 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9838,0.9749,0.0178,0.0073,1.0,99.4,1,82,2 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,4,positive,0.994,0.9908,0.0064,0.0028,0.75,88.52,1,55,5 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9935,0.9891,0.0087,0.0022,1.0,99.94,1,69,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9933,0.9897,0.0072,0.0031,1.0,99.93,1,50,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9896,0.9856,0.008,0.0064,1.0,99.73,1,59,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,3,positive,0.6643,0.5184,0.2918,0.1898,0.5,58.62,0,253,6 months ago,Incentivized | Verified Purchaser | Owned for 1 week
