Mobile_Device,Rating,count,avg_sentiment_score,avg_satisfaction,Percentage_of_device
Google Pixel 10 Pro,1,7,0.13851428571428573,6.302857142857143,2.12
Google Pixel 10 Pro,2,3,0.08663333333333334,14.846666666666666,0.91
Google Pixel 10 Pro,3,8,0.32282500000000003,39.5125,2.42
Google Pixel 10 Pro,4,36,0.8146805555555556,78.48833333333333,10.91
Google Pixel 10 Pro,5,276,0.9812373188405797,99.25746376811594,83.64
Samsung Galaxy S26 Ultra,1,15,0.15490666666666666,7.220666666666667,3.25
Samsung Galaxy S26 Ultra,2,4,0.17527500000000001,19.81,0.87
Samsung Galaxy S26 Ultra,3,8,0.393125,43.44625,1.73
Samsung Galaxy S26 Ultra,4,32,0.723440625,73.3821875,6.93
Samsung Galaxy S26 Ultra,5,403,0.968808188585608,98.56218362282878,87.23
iPhone 17 Pro Max,1,9,0.05686666666666667,1.732222222222222,2.72
iPhone 17 Pro Max,2,1,0.0432,12.42,0.3
iPhone 17 Pro Max,3,3,0.25166666666666665,35.526666666666664,0.91
iPhone 17 Pro Max,4,22,0.8325363636363636,79.48727272727272,6.65
iPhone 17 Pro Max,5,296,0.9776412162162162,99.05631756756756,89.43
