Mobile_Device,bootstrap_sample_mean
iPhone 17 Pro Max,93.4822
iPhone 17 Pro Max,94.3888
iPhone 17 Pro Max,95.3998
iPhone 17 Pro Max,95.8494
iPhone 17 Pro Max,93.8285
iPhone 17 Pro Max,94.0959
iPhone 17 Pro Max,93.837
iPhone 17 Pro Max,95.2536
iPhone 17 Pro Max,95.5754
iPhone 17 Pro Max,93.9385
iPhone 17 Pro Max,94.3847
iPhone 17 Pro Max,93.0365
iPhone 17 Pro Max,93.1624
iPhone 17 Pro Max,94.4822
iPhone 17 Pro Max,95.8134
iPhone 17 Pro Max,93.9765
iPhone 17 Pro Max,95.0021
iPhone 17 Pro Max,92.5182
iPhone 17 Pro Max,94.2365
iPhone 17 Pro Max,94.5641
iPhone 17 Pro Max,92.2051
iPhone 17 Pro Max,93.92
iPhone 17 Pro Max,94.2218
iPhone 17 Pro Max,94.1778
iPhone 17 Pro Max,94.9526
iPhone 17 Pro Max,93.5102
iPhone 17 Pro Max,92.9235
iPhone 17 Pro Max,93.709
iPhone 17 Pro Max,95.0979
iPhone 17 Pro Max,96.07
iPhone 17 Pro Max,94.0494
iPhone 17 Pro Max,93.3435
iPhone 17 Pro Max,94.3396
iPhone 17 Pro Max,94.819
iPhone 17 Pro Max,94.7795
iPhone 17 Pro Max,96.09
iPhone 17 Pro Max,95.3562
iPhone 17 Pro Max,96.3036
iPhone 17 Pro Max,95.06
iPhone 17 Pro Max,93.1932
iPhone 17 Pro Max,95.3396
iPhone 17 Pro Max,93.4859
iPhone 17 Pro Max,92.8414
iPhone 17 Pro Max,95.0525
iPhone 17 Pro Max,94.81
iPhone 17 Pro Max,95.9049
iPhone 17 Pro Max,92.6801
iPhone 17 Pro Max,93.8947
iPhone 17 Pro Max,95.5502
iPhone 17 Pro Max,94.42
iPhone 17 Pro Max,93.9247
iPhone 17 Pro Max,95.0227
iPhone 17 Pro Max,94.4464
iPhone 17 Pro Max,94.7925
iPhone 17 Pro Max,94.5122
iPhone 17 Pro Max,92.9617
iPhone 17 Pro Max,94.7242
iPhone 17 Pro Max,95.0772
iPhone 17 Pro Max,92.988
iPhone 17 Pro Max,94.9842
iPhone 17 Pro Max,94.3145
iPhone 17 Pro Max,93.8475
iPhone 17 Pro Max,94.4808
iPhone 17 Pro Max,94.139
iPhone 17 Pro Max,95.122
iPhone 17 Pro Max,96.1224
iPhone 17 Pro Max,94.3641
iPhone 17 Pro Max,93.9327
iPhone 17 Pro Max,94.3012
iPhone 17 Pro Max,94.0938
iPhone 17 Pro Max,94.6944
iPhone 17 Pro Max,93.4173
iPhone 17 Pro Max,94.9404
iPhone 17 Pro Max,95.2118
iPhone 17 Pro Max,95.0225
iPhone 17 Pro Max,93.4318
iPhone 17 Pro Max,92.4438
iPhone 17 Pro Max,92.7981
iPhone 17 Pro Max,94.5385
iPhone 17 Pro Max,94.1511
iPhone 17 Pro Max,94.6889
iPhone 17 Pro Max,96.1839
iPhone 17 Pro Max,96.1977
iPhone 17 Pro Max,94.5002
iPhone 17 Pro Max,95.2154
iPhone 17 Pro Max,93.9725
iPhone 17 Pro Max,94.7204
iPhone 17 Pro Max,94.6397
iPhone 17 Pro Max,93.3633
iPhone 17 Pro Max,94.5746
iPhone 17 Pro Max,93.7998
iPhone 17 Pro Max,95.5406
iPhone 17 Pro Max,93.5582
iPhone 17 Pro Max,93.7503
iPhone 17 Pro Max,92.647
iPhone 17 Pro Max,92.7366
iPhone 17 Pro Max,94.5809
iPhone 17 Pro Max,95.4451
iPhone 17 Pro Max,93.3051
iPhone 17 Pro Max,93.821
iPhone 17 Pro Max,93.8734
iPhone 17 Pro Max,94.9051
iPhone 17 Pro Max,94.0762
iPhone 17 Pro Max,92.4155
iPhone 17 Pro Max,92.702
iPhone 17 Pro Max,93.9293
iPhone 17 Pro Max,93.5069
iPhone 17 Pro Max,94.3832
iPhone 17 Pro Max,95.3724
iPhone 17 Pro Max,92.1023
iPhone 17 Pro Max,94.4607
iPhone 17 Pro Max,94.4929
iPhone 17 Pro Max,95.0827
